zip_code,median_household_income_acs2019,derived_income_quartile
03597,32917,1
03598,50938,2
03601,70938,3
03602,63304,3
03603,49700,2
03604,158269,4
03605,70625,3
03607,64643,3
03608,71207,3
03609,110250,4
03740,69196,3
03741,75659,3
03743,48283,2
03745,81012,3
03746,104167,4
03748,88041,4
03750,162083,4
03752,59583,2
03753,106094,4
03755,123250,4
03765,66055,3
03766,70268,3
03768,112625,4
03770,97500,4
03771,70000,3
03773,58760,2
03774,50018,2
03777,73636,3
03779,82083,4
03780,55729,2
03781,81875,3
03782,86445,4
03784,56921,2
03785,46442,1
03801,85000,4
03809,79653,3
03810,94018,4
03811,118712,4
03812,43319,1
03813,64069,3
03814,43947,1
03816,62411,3
03818,52051,2
03819,91694,4
03820,71556,3
03823,126667,4
03824,81995,3
03825,97014,4
03826,74500,3
03827,102181,4
03830,56835,2
03832,67031,3
03833,88498,4
03835,70257,3
03836,70096,3
03837,65577,3
03838,59541,2
03839,71053,3
03840,115417,4
03841,89595,4
03842,85585,4
03844,134425,4
03845,58594,2
03846,66161,3
03847,81658,3
03848,94473,4
03849,72560,3
03850,100221,4
03851,71308,3
03852,56750,2
03853,58438,2
03854,136000,4
03855,81250,3
03856,154375,4
03857,73734,3
03858,107319,4
03860,61157,3
03861,100170,4
03862,95694,4
03864,47464,1
03865,86659,4
03867,64340,3
03868,56599,2
03869,74896,3
03870,122602,4
03872,83597,4
03873,113750,4
03874,73046,3
03875,85179,4
03878,66737,3
03882,70000,3
03883,65945,3
03884,94321,4
03885,109817,4
03886,42075,1
03887,73750,3
03890,61211,3
03894,60898,2
03901,75164,3
03902,86563,4
03903,79835,3
03904,77036,3
03905,85759,4
03906,68641,3
03907,60500,2
03908,88262,4
03909,94771,4
03910,75250,3
04001,54837,2
04002,65731,3
04003,87708,4
04005,55034,2
04006,46786,1
04008,71875,3
04009,57594,2
04010,47581,1
04011,59922,2
04015,61484,3
04017,68333,3
04020,50074,2
04021,106190,4
04022,62734,3
04024,63906,3
04027,64896,3
04029,57902,2
04030,67880,3
04032,86128,4
04037,56676,2
04038,84767,4
04039,77093,3
04040,52500,2
04041,48846,2
04042,65000,3
04043,75517,3
04046,76998,3
04047,58182,2
04048,55343,2
04049,66273,3
04050,80556,3
04051,53750,2
04055,67640,3
04056,74792,3
04061,71857,3
04062,78698,3
04063,34545,1
04064,58950,2
04066,77969,3
04068,40859,1
04069,88250,4
04071,79297,3
04072,70517,3
04073,50267,2
04074,97612,4
04076,72955,3
04079,81970,3
04083,62135,3
04084,72170,3
04085,90804,4
04086,74968,3
04087,61722,3
04088,52237,2
04090,66578,3
04091,54773,2
04092,59460,2
04093,71583,3
04095,54167,2
04096,89984,4
04097,113994,4
04101,45417,1
04102,62256,3
04103,69651,3
04105,120299,4
04106,68665,3
04107,123014,4
04108,81923,3
04109,65417,3
04110,191250,4
04210,49719,2
04216,45694,1
04217,46711,1
04219,51691,2
04220,57072,2
04221,49423,2
04222,78995,3
04224,36732,1
04226,44250,1
04227,34028,1
04231,40893,1
04236,71563,3
04237,75625,3
04238,62353,3
04239,59432,2
04240,44523,1
04250,55330,2
04252,59949,2
04253,65491,3
04254,30789,1
04255,61705,3
04256,56264,2
04257,44191,1
04258,79107,3
04259,58860,2
04260,74769,3
04261,53750,2
04263,57721,2
04265,65455,3
04267,59250,2
04268,49837,2
04270,50871,2
04274,70760,3
04275,39688,1
04276,41609,1
04280,71725,3
04281,49886,2
04282,66908,3
04284,60859,2
04285,44625,1
04287,58417,2
04289,46196,1
04290,57813,2
04292,52188,2
04294,52028,2
04330,49809,2
04342,69625,3
04345,55023,2
04346,50286,2
04347,57635,2
